COD_ESTACION;NOM_ESTACION;FECHA;CONTAMINANTE;MEDICION
03009003;OLIVER;22/01/1997;PST;110
03009003;OLIVER;22/01/1997;PB;
03009003;OLIVER;22/01/1997;NOX;91
03009003;OLIVER;23/01/1997;CO;0,7
03009003;OLIVER;23/01/1997;NO;31
03009003;OLIVER;23/01/1997;NO2;21
03009003;OLIVER;23/01/1997;SO2;37
03009003;OLIVER;23/01/1997;O3;15
03009003;OLIVER;23/01/1997;PST;146
03009003;OLIVER;23/01/1997;PB;
03009003;OLIVER;23/01/1997;NOX;69
03009003;OLIVER;24/01/1997;CO;0,6
03009003;OLIVER;24/01/1997;NO;26
03009003;OLIVER;24/01/1997;NO2;17
03009003;OLIVER;24/01/1997;SO2;22
03009003;OLIVER;24/01/1997;O3;22
03009003;OLIVER;24/01/1997;PST;92
03009003;OLIVER;24/01/1997;PB;
03009003;OLIVER;24/01/1997;NOX;57
03009003;OLIVER;25/01/1997;CO;0,8
03009003;OLIVER;25/01/1997;NO;27
03009003;OLIVER;25/01/1997;NO2;20
03009003;OLIVER;25/01/1997;SO2;14
03009003;OLIVER;25/01/1997;O3;20
03009003;OLIVER;25/01/1997;PST;63
03009003;OLIVER;25/01/1997;PB;
03009003;OLIVER;25/01/1997;NOX;62
03009003;OLIVER;26/01/1997;CO;0,6
03009003;OLIVER;26/01/1997;NO;24
03009003;OLIVER;26/01/1997;NO2;12
03009003;OLIVER;26/01/1997;SO2;11
03009003;OLIVER;26/01/1997;O3;27
03009003;OLIVER;26/01/1997;PST;110
03009003;OLIVER;26/01/1997;PB;
03009003;OLIVER;26/01/1997;NOX;48
03009003;OLIVER;27/01/1997;CO;0,8
03009003;OLIVER;27/01/1997;NO;32
03009003;OLIVER;27/01/1997;NO2;28
03009003;OLIVER;27/01/1997;SO2;20
03009003;OLIVER;27/01/1997;O3;16
03009003;OLIVER;27/01/1997;PST;117
03009003;OLIVER;27/01/1997;PB;
03009003;OLIVER;27/01/1997;NOX;77
03009003;OLIVER;28/01/1997;CO;0,8
03009003;OLIVER;28/01/1997;NO;36
03009003;OLIVER;28/01/1997;NO2;23
03009003;OLIVER;28/01/1997;SO2;23
03009003;OLIVER;28/01/1997;O3;16
03009003;OLIVER;28/01/1997;PST;78
03009003;OLIVER;28/01/1997;PB;
03009003;OLIVER;28/01/1997;NOX;78
03009003;OLIVER;29/01/1997;CO;0,7
03009003;OLIVER;29/01/1997;NO;30
03009003;OLIVER;29/01/1997;NO2;23
03009003;OLIVER;29/01/1997;SO2;29
03009003;OLIVER;29/01/1997;O3;21
03009003;OLIVER;29/01/1997;PST;99
03009003;OLIVER;29/01/1997;PB;
03009003;OLIVER;29/01/1997;NOX;70
03009003;OLIVER;30/01/1997;CO;0,7
03009003;OLIVER;30/01/1997;NO;32
03009003;OLIVER;30/01/1997;NO2;28
03009003;OLIVER;30/01/1997;SO2;35
03009003;OLIVER;30/01/1997;O3;25
03009003;OLIVER;30/01/1997;PST;64
03009003;OLIVER;30/01/1997;PB;0,08
03009003;OLIVER;30/01/1997;NOX;77
03009003;OLIVER;31/01/1997;CO;1,2
03009003;OLIVER;31/01/1997;NO;49
03009003;OLIVER;31/01/1997;NO2;35
03009003;OLIVER;31/01/1997;SO2;46
03009003;OLIVER;31/01/1997;O3;17
03009003;OLIVER;31/01/1997;PST;99
03009003;OLIVER;31/01/1997;PB;
03009003;OLIVER;31/01/1997;NOX;111
03014004;RENFE;01/01/1997;NO;39
03014004;RENFE;01/01/1997;CO;1,7
03014004;RENFE;01/01/1997;DIREC.;196
03014004;RENFE;01/01/1997;H.REL.;71
03014004;RENFE;01/01/1997;NO2;42
03014004;RENFE;01/01/1997;NOX;101
03014004;RENFE;01/01/1997;VELOC.;0,8
03014004;RENFE;01/01/1997;PST;53
03014004;RENFE;01/01/1997;PB;
03014004;RENFE;01/01/1997;PRECIP.;6
03014004;RENFE;01/01/1997;R.SOL.;85
03014004;RENFE;01/01/1997;SO2;4
03014004;RENFE;01/01/1997;TEMP.;12,4
03014004;RENFE;01/01/1997;O3;34
03014004;RENFE;02/01/1997;CO;1,7
03014004;RENFE;02/01/1997;DIREC.;293
03014004;RENFE;02/01/1997;H.REL.;72
03014004;RENFE;02/01/1997;NO;38
03014004;RENFE;02/01/1997;NO2;45
03014004;RENFE;02/01/1997;NOX;103
03014004;RENFE;02/01/1997;VELOC.;1,4
03014004;RENFE;02/01/1997;PST;53
